,AP amp,AP amp adapt,AP amp CV,AP thresh,AP width,AHP,ISI adapt,ISI CV,R_i,Max number of APs,Tau,Rebound,Vm,Rheobase,Sag,UDR
20191107sample4,84.53334867954256,0.8045341863515076,-1.5769057949926135,-33.334173262119286,0.9199999999999764,-4.752010107040405,0.19961305390401596,-1.1727363682297396,274.45119189719367,24,20.973415108685803,2.1096719805925304,-56.419087209552536,60.0,1.0360969160965587,2.167890862532552
20191114sample3,89.76722694933414,0.7397788325967557,-1.8305752147027634,-25.35381354391575,1.7999999999999958,-5.076766014099121,2.2539644059879715,-0.9902221003254676,51.21995658924181,12,11.871615066067074,0.4863230339465332,-60.61340215131641,280.0,1.0692102412663298,4.5603732847786915
20191114sample8,91.35135263204576,0.69679935768003,-1.6549038875310775,-35.337034612894065,1.5199999999999936,-1.3446509838104248,2.0936746313706958,-1.288657570291398,82.35764562255805,20,13.361570019910307,0.693930514456909,-65.55366049855948,240.0,1.0818884671252398,4.085185665217241
20191114sample7,86.72032877802849,0.9133483196289732,-1.398100614364378,-29.647335410118107,1.36,-3.147028386592865,0.5388968147434697,-1.2841778541162991,60.8234058196346,20,7.21907159454389,0.2222822478951727,-58.50612924918532,314.28571428571416,1.0172376972242425,3.3039207550653398
20191114sample2,96.04336693882942,0.8479242963388974,-1.156409664525541,-38.32967206835747,1.6400000000000026,-8.037451654672621,0.26062015040882475,-1.8658252963214657,258.7999088130892,19,8.974408113040443,1.889181005252816,-56.73510102406144,40.0,1.0759156772475171,4.015662402100348
20191114sample4,89.98818323016167,0.8960275411521648,-1.9204541052560602,-36.29669919610024,1.0000000000000009,-9.258724749088287,0.3372744829538513,-1.4879978473743254,199.2542460433075,24,16.983563555811322,2.7523543957758956,-54.331219471246,80.0,1.1407560797557978,2.1284686588232837
20191114sample1,83.28896760940552,0.7308637472450097,-0.9975015700964188,-38.13847899436951,1.3999999999999846,-5.013994872570038,0.4562374334815882,-0.7799397374325042,289.5745239580672,18,17.149566626442713,17.080623096061053,-58.483497731387615,29.47368421052632,1.351331740433063,3.1454392818955443
20191114sample9,82.12523534893991,0.8392473677183447,-2.046417301838749,-36.39467060565949,1.3199999999999878,-3.9579458534717564,0.2389290823125759,-2.484949808640585,40.61877179890869,17,5.840110639170487,0.026590485722181256,-50.148793926090015,320.0,1.0206085796892803,3.5022823604558866
20191106sample2,77.71383412182331,0.9069487148506068,-0.9477999515879194,-25.72766505181789,1.0399999999999854,-14.083443209528925,0.3522733793583211,-0.9608203140772661,190.12361575414727,14,4.5216112941385305,0.1825495171623288,-63.1860597319901,40.0,1.0082899873770104,2.660322601224449
20191106sample5,66.63051433861257,0.8071064474959379,-2.0607911687955798,-20.699581131339073,1.1599999999999944,-13.534395024180412,0.22847452795539103,-0.7706087829458358,250.42109932129574,15,8.591360087069253,1.2409456291717689,-55.016251989454034,137.0212765957447,1.0862789779065398,2.6033417994801678
20191106sample3,95.69456428289413,0.6576111281772433,-1.0602556553079074,-37.84947842359543,1.6799999999999868,-2.277534455060959,1.789400977568762,-1.5485683052005423,196.3242493147651,23,11.66791225925296,0.6710521213283016,-64.94072116762399,60.0,1.099155163011603,4.170393327183777
20191105sample4,76.13854296505451,0.9033718538105612,-2.4665291771857163,-27.748247608542442,0.7200000000000123,-16.10240899026394,0.13083960095881167,-1.876764976042911,149.48389758355916,44,9.310408538122578,1.0174065191182464,-52.56626890972257,138.35616438356166,1.0565556156371698,1.4658988844583796
