gene	20191001_sample_1_S1	20191001_sample_2_S3	20191001_sample_3_S5	20191001_sample_4_S7	20191001_sample_5_S9	20191001_sample_6_S11	20191003_sample_2_S13	20191003_sample_3_S15	20191003_sample_4_S17	20191003_sample_5_S19	20191003_sample_6_S21	20191010_sample_1_S2	20191010_sample_2_S4	20191010_sample_3_S6	20191010_sample_4_S8	20191010_sample_6_S10	20191010_sample_7_S12	20191028_sample_1_S14	20191028_sample_2_S16	20191028_sample_3_S18	20191028_sample_4_S20	20191028_sample_5_S22	20191030_sample_2_S24	20191030_sample_3_S26	20191030_sample_4_S28	20191030_sample_5_S30	20191101_sample_1_S32	20191101_sample_2_S34	20191101_sample_3_S36	20191101_sample_4_S38	20191101_sample_5_S40	20191101_sample_6_S23	20191104_sample_1_S25	20191104_sample_2_S27	20191104_sample_3_S29	20191104_sample_4_S31	20191105_sample_1_S33	20191105_sample_2_S35	20191105_sample_3_S37	20191105_sample_4_S39	20191105_sample_5_S41	20191106_sample_2_S42	20191106_sample_3_S44	20191106_sample_5_S46	20191107_sample_1_S48	20191107_sample_2_S50	20191107_sample_3_S52	20191107_sample_4_S54	20191108_sample_1_S56	20191108_sample_4_S58	20191108_sample_5_S60	20191114_sample_1_S43	20191114_sample_2_S45	20191114_sample_3_S47	20191114_sample_4_S49	20191114_sample_5_S51	20191114_sample_7_S53	20191114_sample_8_S55	20191114_sample_9_S57	BLANK_1_S59	BLANK_2_S61	BLANK_3_S62	Undetermined_S0
Zfp65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1826	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67
Trim63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc8b	53	0	144	892	0	0	0	1	0	0	941	477	0	256	0	1287	959	0	0	3	0	3	0	0	0	555	463	2273	2	0	0	703	0	0	0	0	6	0	278	0	242	1780	2	113	0	1126	107	1	869	0	10	994	0	0	0	53	1210	2	0	0	1	0	521
Fam122a	0	0	0	7	0	0	0	0	0	0	9	0	403	98	0	0	287	0	0	0	0	0	0	550	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	3	40	0	0	0	0	12	0	354	0	0	0	0	0	0	0	0	250	0	0	0	0	68
Gm12440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pex1	953	0	0	0	248	3	0	4	0	20	259	0	685	0	0	0	550	0	0	1571	0	1	0	0	1318	0	0	0	0	0	0	0	0	530	0	144	0	0	1799	1	60	0	1	0	2	289	0	1	0	0	12	21	0	555	0	0	38	0	0	0	0	0	271
Golga3	3139	0	416	2253	0	3	0	0	0	161	293	0	724	1676	991	727	0	0	0	0	0	7	2984	0	0	928	0	0	1531	0	2	0	0	0	0	1	4	0	113	0	326	2976	461	0	0	0	26	24	0	0	803	0	1	0	10	0	886	0	0	0	0	0	924
Rnu7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cckbr	0	0	0	459	0	1	0	0	0	862	1508	1391	0	723	43	0	344	344	0	0	0	0	0	1292	0	2380	0	530	0	323	0	0	0	3	0	0	2	0	0	0	69	0	866	0	0	0	0	0	13	0	1169	0	0	481	0	0	715	0	0	0	0	0	344
Tlx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vamp2	3	0	403	1025	571	1264	4	979	727	8106	465	1870	7467	9214	0	4377	1148	312	478	1708	1209	23	550	502	1165	1690	6522	775	496	739	13708	1278	1451	262	4	597	0	1119	1301	1484	3933	8261	364	4433	112	10965	1712	710	2050	1528	671	100	703	1014	0	1	709	546	3494	0	0	0	3523
Mir7094-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Chd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	43	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	418	0	0	0	0	34
Prim1	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	82	0	0	0	0	5	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1563	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	1	109
Nefh	2	0	0	242	1	378	0	0	0	5	0	0	2201	0	11	9032	332	0	0	1	0	0	0	28	0	463	43	0	0	0	2081	496	0	0	0	2	2	0	1	2	132	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	614	0	462	0	0	0	434
Nfe2l2	0	0	0	847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Gm11201	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Fbxo7	0	0	0	600	0	0	0	0	1196	746	0	138	1	701	0	954	2	0	0	0	0	0	0	0	0	0	680	0	0	0	0	0	0	0	0	0	0	1	0	0	204	0	30	0	0	30	0	0	0	0	0	18	0	0	0	1	0	643	0	0	0	0	159
Actb	8175	991	979	3119	4912	1671	3119	2778	3340	20153	216	7182	33287	28496	13872	14893	11718	4797	2267	1927	217	1317	5796	2853	2836	462	26000	5810	960	2209	28371	9546	1413	219	10	3318	1138	6006	2469	872	6849	34039	1798	14627	648	15315	6198	1200	6099	6187	643	1707	535	1246	1528	861	1569	1637	12614	0	4	1	17171
Acta2	0	0	0	0	0	0	0	0	0	0	43	0	98	14	38	0	1	0	0	0	0	0	0	0	0	0	31	0	0	0	1	87	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	60	1	0	0	0	0	0	0	0	17	0	0	0	0	0	9
Chrna7	0	0	0	0	0	0	0	225	0	0	0	0	493	0	0	0	0	0	0	0	0	0	1	0	0	0	110	0	202	0	0	5	0	0	0	0	0	0	0	0	0	0	401	0	0	0	1	0	0	0	0	3298	0	0	0	0	0	0	503	0	0	0	129
Sesn2	0	0	0	0	0	0	0	0	2	0	0	0	1304	76	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	3	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	26
Map3k12	1297	0	3	950	0	802	0	111	0	473	49	452	1656	667	662	3037	416	500	0	2225	1081	1	3	1064	0	0	934	0	524	0	811	12	5	0	0	1	2	0	1441	498	687	4	632	838	0	6	1503	79	1133	0	46	108	0	115	0	0	997	10	30	0	0	0	731
Nutf2	0	0	0	0	0	0	531	0	4	0	0	0	0	784	0	728	35	0	0	543	0	0	4	353	0	0	0	0	1	1	0	289	0	0	0	0	0	0	0	0	79	0	27	0	0	520	68	149	246	0	0	0	0	0	0	0	171	126	0	0	0	0	185
Tdgf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcte3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcof1	1	0	0	219	0	0	0	0	83	62	12	178	0	473	133	0	10	1	0	0	0	3	0	646	0	0	51	0	701	0	0	0	0	0	0	0	0	7	0	0	0	1274	0	8	0	1	148	0	4	0	0	0	13	329	0	0	0	71	0	0	0	1	175
Bmp2	0	0	0	0	0	938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Lce3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpm7	247	0	34	1035	0	92	0	821	15	69	544	2499	1154	1512	5	3316	244	496	0	909	0	0	0	508	0	5713	1065	902	1212	169	460	23	1	4	0	2668	5	2	1357	2099	222	18	401	2069	1	1	1106	736	1	0	1244	645	0	1193	0	1	2328	1329	0	0	0	0	1213
Zdhhc24	0	0	0	0	0	0	0	0	0	266	0	999	706	0	0	36	0	13	0	12	0	0	0	1572	0	0	448	0	1	0	0	1394	0	0	0	59	1	4	0	1	179	290	0	1	0	0	0	0	0	0	0	0	0	0	0	0	653	361	0	0	0	0	750
Zfp868	0	0	60	138	45	0	0	0	0	0	0	17	1351	932	0	1675	0	17	0	0	0	0	0	93	0	0	24	2126	11	0	0	0	0	0	619	0	0	0	0	0	139	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	3	0	0	0	0	0	220
Rab34	0	0	15	327	0	0	0	0	3	0	0	0	620	0	132	0	0	0	0	0	0	0	0	0	0	0	71	628	243	0	0	0	1	0	0	375	0	0	0	0	40	0	0	0	0	0	445	176	0	0	0	0	0	0	0	1	122	0	0	0	0	0	120
Dock2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pitx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930578E11Rik	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcab2	0	0	654	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	24	0	0	4	2	0	0	0	0	0	0	0	0	0	917	0	0	186	0	94	0	0	0	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
Gm15471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5033403H07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45g	309	0	0	0	169	129	0	0	90	162	0	574	114	830	0	1299	171	90	0	239	0	0	287	2	1	0	411	827	28	2161	0	273	0	1	0	612	0	242	0	0	94	704	0	866	337	0	271	0	1	1	72	0	0	181	0	0	0	280	0	0	0	0	698
Gm8979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenow	327	337	73	73	98	39	419	348	234	1105	39	67	1014	2452	0	842	174	65	619	165	2	8	152	164	81	87	2509	369	534	341	1620	164	1043	521	153	319	0	830	366	2	294	2223	163	2124	66	1594	751	1	1212	173	276	46	90	364	433	108	274	282	592	0	0	0	896
Serpinf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Psmd13	1075	0	212	87	0	0	0	0	0	1941	48	349	2031	572	0	1488	709	0	0	167	1	5	947	6	0	270	2880	0	1	1033	1941	0	1	0	0	647	0	0	1443	1189	757	1552	2	0	0	1092	581	149	0	0	0	0	689	0	0	1	1	441	0	0	0	1	773
Tsn	0	0	0	1146	1520	2	0	259	159	1156	150	285	821	3248	0	1896	0	758	0	0	0	2	0	72	0	1216	2118	0	56	12	1040	2	766	0	0	0	0	0	742	479	517	918	7	882	0	2687	1691	78	0	0	1	22	0	0	0	0	0	130	1308	0	1	0	764
Cdk5r2	0	0	0	0	0	6	1	0	29	0	0	16	0	3	0	4	18	0	0	0	0	0	0	1	0	0	0	0	0	1	0	18	2	2	1	0	0	0	0	0	0	0	22	1	0	2	0	0	0	0	0	0	22	0	0	4	57	0	2	0	0	0	7
Ulk2	0	0	66	462	8	115	0	0	0	0	390	0	2902	346	467	2150	59	0	0	594	0	8	0	1440	0	1057	63	0	0	7	0	0	0	0	0	0	0	0	0	635	277	3040	0	1379	0	0	88	0	0	0	0	0	0	81	0	0	1	0	0	0	0	0	503
Fbxl8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	31
Heyl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsm4	0	0	54	0	0	82	52	55	0	266	0	0	444	227	107	136	0	0	540	0	0	0	0	153	0	1	393	0	1	567	250	0	180	0	0	0	0	72	1	0	171	476	0	178	0	420	0	0	293	251	0	26	0	0	0	0	0	0	366	0	0	0	216
Plcl2	0	0	0	0	0	0	0	0	0	1363	328	696	0	1358	0	1678	1027	0	0	35	0	0	0	326	0	367	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	59	0	235	0	0	0	0	0	0	0	0	0	0	0	191
Iqcf4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cat	0	0	13	983	0	0	232	0	51	0	0	0	347	1	355	1547	0	0	0	0	0	0	3	1	0	0	1	0	3	639	0	0	0	0	0	7	0	0	0	0	216	0	0	665	0	463	0	0	0	0	0	0	0	0	0	1713	0	0	0	0	0	0	194
Reg3g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir181a-2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Platr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platr14	2055	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	113
LOC102632463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Oas1g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	0	246	1	108	0	1202	440	3565	0	1913	2149	1051	256	4648	193	0	0	589	0	32	0	335	0	455	3027	0	704	10	3598	790	0	0	1	14	1161	0	4	791	719	8239	0	0	0	3047	0	0	1	2330	507	0	0	64	0	0	321	0	852	0	0	0	1525
Zfp33b	0	0	0	0	0	0	0	340	0	407	0	2	0	0	0	1828	0	0	0	0	0	1	0	0	0	0	501	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	399	0	0	0	0	348	0	0	0	0	0	85
Gorasp1	0	518	712	0	0	0	0	0	0	0	0	0	157	0	0	0	221	0	0	0	0	0	0	34	0	0	237	0	0	0	2	0	1	0	0	0	0	0	0	1425	310	0	0	678	0	118	0	0	0	0	145	0	0	0	329	0	0	0	0	0	0	0	152
4931406P16Rik	0	0	0	0	252	0	147	119	0	98	0	0	0	400	121	370	518	0	0	668	0	0	0	480	13	648	1	0	415	0	611	0	0	1	0	0	0	1	0	0	146	1	6	0	0	82	495	0	0	0	350	0	0	143	1	0	28	155	0	0	0	0	196
Neurog3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930447N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stc1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	113	0	0	0	0	5	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159
Kcnmb4os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1
Cox18	420	0	0	1	368	0	1	0	326	10	0	482	0	134	0	0	0	3	0	0	0	1	0	429	0	87	1308	0	0	0	1114	0	0	0	0	0	0	0	0	0	40	719	92	806	0	410	0	0	0	0	0	0	0	262	0	0	1	21	0	0	0	0	235
Mctp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	9
Gm15408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15708	0	0	0	0	8	0	0	522	0	0	154	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	144	0	0	0	0	0	27
AU022754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gcn1	0	0	0	564	60	431	0	285	307	35	198	380	551	621	1	1049	0	0	0	924	0	0	0	896	1128	1	485	364	369	836	0	5	0	0	0	0	0	81	0	41	0	0	0	0	1	0	0	0	0	0	37	326	0	0	0	0	3	274	0	0	0	0	282
Atp8b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Filip1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	1	0	0	0	0	0	0	859	0	0	2030	0	1	0	0	0	0	0	1598	0	0	0	0	0	0	0	1	0	0	0	0	0	775	0	0	0	0	0	0	0	0	172
Vmn2r73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim12c	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Prr16	0	1	0	0	0	0	0	0	0	0	0	0	0	583	1023	0	291	0	0	0	0	0	1139	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
Rbbp8	0	0	0	0	0	0	0	0	0	0	0	632	1302	0	0	767	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	35	0	0	0	0	0	584	0	0	0	0	0	1270	1	0	0	0	500	0	0	0	0	0	143
Esco1	0	0	497	0	0	0	1	0	0	1181	2886	657	30	1246	720	0	0	0	0	852	0	0	1288	1216	996	0	1111	1080	435	614	2274	4704	0	0	0	0	1450	1	1105	0	0	0	433	896	0	0	0	0	0	0	22	756	0	410	0	0	101	337	0	0	0	0	742
Ercc6	0	0	265	541	218	0	0	0	67	0	0	293	0	28	960	2586	671	0	0	1732	0	6	2	53	0	0	1	4	0	1988	1493	76	0	0	0	49	1	0	0	491	107	2105	407	0	0	0	169	1282	0	1	0	47	0	0	0	0	922	47	0	0	0	0	538
Gm14151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3mbtl1	0	0	0	0	0	0	0	0	0	479	108	8	6	0	0	35	3	0	0	0	0	0	0	59	0	57	0	0	11	0	0	0	0	0	0	10	0	0	0	1	21	0	206	0	0	0	0	0	0	0	6	41	0	0	0	0	11	3	0	0	0	0	33
Vmn2r70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
